Location,UWI,Reading Time,Average Amps (A) (Raw),Drive Frequency (Hz) (Raw),Intake Pressure (psi) (Raw),Discharge Pressure (psi) (Raw),Intake Temperature (F) (Raw),Motor Temperature (F) (Raw),Vibration (gravit) (Raw),Virtual Rate (BFPD) (Raw)
SKW-15,SKW-15,2025-07-28 01:20:00,20.4,45.0,801.799999999293,2345.40000000035,96.699999992,120.799999994,0.00611829726,1386.7147966312514
SKW-15,SKW-15,2025-07-28 01:21:00,19.4,45.0,801.600000000602,2344.49999999971,96.699999992,121.200000008,0.00611829726,1273.677347518925
SKW-15,SKW-15,2025-07-28 01:22:00,19.4,45.0,801.999999999435,2343.60000000052,96.8,121.800000002,0.00713801347,1273.51371740249
SKW-15,SKW-15,2025-07-28 01:26:00,19.9,45.0,801.799999999293,2338.29999999967,96.900000008,121.1,0.00611829726,1268.7754747297702
SKW-15,SKW-15,2025-07-28 01:28:00,21.2,45.0,800.399999999752,2332.59999999999,96.900000008,121.899999992,0.00713801347,1411.8980496323372
SKW-15,SKW-15,2025-07-28 01:29:00,21.2,45.0,799.799999999327,2329.89999999952,96.900000008,122.500000004,0.00713801347,1411.8127840069662
SKW-15,SKW-15,2025-07-28 01:30:00,21.5,45.0,797.899999999432,2329.20000000048,96.900000008,122.700000002,0.00611829726,1415.0123139978139
SKW-15,SKW-15,2025-07-28 01:31:00,21.2,45.0,798.099999999574,2328.19999999977,96.900000008,122.700000002,0.00713801347,1411.8861431422322
SKW-15,SKW-15,2025-07-28 01:33:00,18.9,45.0,800.19999999961,2327.00000000037,96.900000008,122.799999992,0.00713801347,1277.850657779957
SKW-15,SKW-15,2025-07-28 01:34:00,20.2,45.0,800.599999999894,2326.39999999995,96.900000008,123.099999998,0.00611829726,1265.117101940476
SKW-15,SKW-15,2025-07-28 01:39:00,19.2,45.0,801.100000000248,2319.59999999948,97.199999996,121.299999998,0.00713801347,1275.3915684297049
SKW-15,SKW-15,2025-07-28 01:42:00,19.8,45.0,801.300000000389,2316.60000000026,97.300000004,120.099999992,0.00713801347,1269.9145987720026
SKW-15,SKW-15,2025-07-28 01:45:00,21.2,45.0,798.599999999928,2306.7000000005,97.300000004,121.800000002,0.00611829726,1411.9536014803386
SKW-15,SKW-15,2025-07-28 01:46:00,21.2,45.0,797.500000000599,2305.19999999944,97.300000004,122.700000002,0.00611829726,1411.839363236655
SKW-15,SKW-15,2025-07-28 01:47:00,20.3,45.0,797.400000000528,2304.60000000046,97.300000004,122.199999998,0.00611829726,1387.7884507731878
SKW-15,SKW-15,2025-07-28 01:48:00,18.6,45.0,799.400000000494,2302.20000000021,97.399999994,123.200000006,0.00611829726,1280.2125428608003
SKW-15,SKW-15,2025-07-28 01:51:00,18.9,45.0,800.499999999823,2296.79999999929,97.399999994,121.600000004,0.00509858105,1277.9538000770494
SKW-15,SKW-15,2025-07-28 01:52:00,19.4,45.0,800.599999999894,2291.70000000003,97.500000002,121.1,0.00611829726,1273.5839579385208
SKW-15,SKW-15,2025-07-28 01:53:00,21.3,45.0,800.19999999961,2288.79999999942,97.500000002,120.599999996,0.00611829726,1413.0998467153254
SKW-15,SKW-15,2025-07-28 01:55:00,21.2,45.0,796.700000000032,2275.90000000044,97.599999992,121.899999992,0.00611829726,1411.9877728711313
SKW-15,SKW-15,2025-07-28 01:57:00,20.9,45.0,796.800000000103,2271.50000000023,97.599999992,123.000000008,0.00713801347,1408.4289734549552
SKW-15,SKW-15,2025-07-28 01:58:00,20.7,45.0,798.599999999928,2268.49999999955,97.599999992,122.799999992,0.00611829726,1406.0248997361298
SKW-15,SKW-15,2025-07-28 02:00:00,20.1,45.0,799.899999999398,2263.40000000029,97.599999992,123.200000006,0.00611829726,1266.201217728588
SKW-15,SKW-15,2025-07-28 02:01:00,21.1,45.0,799.300000000423,2256.09999999947,97.599999992,122.799999992,0.00509858105,1410.550101311438
SKW-15,SKW-15,2025-07-28 02:02:00,21.1,45.0,798.099999999574,2249.79999999936,97.7,122.9,0.00611829726,1410.5758681882855
SKW-15,SKW-15,2025-07-28 02:03:00,21.0,45.0,796.599999999962,2247.30000000049,97.7,123.600000002,0.00611829726,1409.4235773112323
